review_id,user_name,review_description,rating,thumbs_up,review_date,developer_response,developer_response_date,appVersion,language_code,country_code,has_response,year
81942ead-9d65-4b1a-8aa2-6e21ad5cf5e7,Vernalee Fortin,"Still loving it!, the best!",5,0,2024-09-03 00:23:00,Thank you. We're so happy you're still loving it and think it's the best.,,23.12.04000,en,us,1,2024
c08cf1e7-45e4-43a3-b86f-51f7809b80a3,Toki Doki,Convenient one stop app for all your passwords. Lock in with the app pw and update your other apps pws. Allows backup file to be created so that it can be used on your backup phone as well.,5,0,2024-08-19 03:32:00,"Thanks for the feedback. Glad the login and password updates across apps are working well for you, along with the backup feature.",,23.12.04000,en,us,1,2024
c8937763-e1b4-43b1-9e48-cde58be80111,CJ Cross,"Tried several password managers until I came across this one. it dies everything I need to store my passwords safely. No complications like the big name managers. I tried a bunch of those, and they were a waste of tme. And expensuve. For most people, this is all you need.",5,0,2024-07-30 08:07:00,Thank you. It's great to hear it's a convenient all-in-one solution for your passwords.,,23.12.04000,en,us,1,2024
762baf4b-9109-4b4b-a42f-2291b0486faf,Trevor Lewis,Ok thank you,5,0,2024-06-11 17:20:00,Thanks so much. We're thrilled this one finally meets all your needs for safe password storage with no complications. Appreciate you trying it!,,Unknown,en,us,1,2024
275a2d36-6d77-44ae-9d7b-8be6ad614e3f,K K,"switched phones and none of my passwords came over to new phone, very upset.",1,0,2024-05-19 19:20:00,"You have to do a backup on Google Drive / Dropbox before switching phones. Then on the new phone restore your data. If you encounter issues please contact support, we will provide assistance.
Did you mange to restore your data?",2024-05-21 23:50:00,23.12.04000,en,us,1,2024
b8a5df20-4fee-49c6-843b-3df705749740,Richard Eckersley,I like the simplicity of this app. It does what I want without complex steps. Stores basic details for all your user details in one place.,4,1,2024-05-06 04:16:00,"Thank you for your kind words! We're thrilled to hear that you appreciate the simplicity and effectiveness of our app for storing your data securely. If you have any suggestions for further improvements or features you'd like to see, please feel free to reach out to us. Your feedback is invaluable to us!",2024-05-12 13:06:00,23.12.04000,en,us,1,2024
e59f8058-e305-45c4-aad9-c0c7c619d22a,Brian McDowall,"Excellent, secure and easy to use app. Please keep unlimited saves free, watching ads are worth it and there's not too many of them. Another app which I was using now only lets you save 5 on free version, ONLY because it is made by a well known and more established cyber security company that's been around for decades on PC. I'm assuming a few other more well known ones will be doing the same but this is just as secure as any of them. Love the thumbprint login feature too for quicker access.",5,0,2024-04-27 03:44:00,"Thank you so much for your detailed feedback and positive review! We're thrilled to hear that you find our app excellent and easy to use. We understand your frustration with other apps limiting free saves, and we're committed to providing a valuable and secure experience without such restrictions. Thank you for choosing and supporting our app!",2024-05-12 13:12:00,23.12.04000,en,us,1,2024
990b1855-5596-4d35-8280-067a4c529720,Marie,"Love this App. It's simple, secure, and great especially so you can access your Password's even if you're away from Wifi.",5,0,2024-03-01 11:01:00,"Thank you. We're so happy you love the app, especially for its simplicity, security, and offline access to your passwords even without WiFi.",,23.12.04000,en,us,1,2024
9c9153a8-32b2-4fc5-9d09-f5a29390840c,Rob Fleming,good app,4,0,2024-01-03 22:41:00,Thank you. Glad you find it a good app.,,23.12.04000,en,us,1,2024
a565430f-7b7a-4151-9d85-a6f93dd8389f,D,Easy to use and great for storing passwords. Good security.,5,0,2024-01-02 21:37:00,"Thanks for the feedback. Happy it's easy to use, great for storing passwords, and offers good security.",,23.12.04000,en,us,1,2024
8f6e2b11-8ca7-4409-b09f-776fd117c070,Tammie Price,Great,5,0,2023-12-16 07:35:00,"Thank you. We appreciate the ""Great"" review!",,23.12.04000,en,us,1,2023
f4546fb2-49e7-46ba-a6ed-eeb6bb92fc77,Ms. C,Only wish the app would autopilot and details visible without clicking on edit.,4,1,2023-10-14 01:43:00,We appreciate your feedback and support. Thank you 🙏,2023-10-28 12:23:00,23.09.15000,en,us,1,2023
935b494e-7bbd-4b6d-9d05-3e488eb1ed2b,saimon Telecom,Gote,5,0,2023-09-22 17:41:00,ok very goood,,Unknown,en,us,1,2023
64f6d3fc-1143-42b5-9e4f-4a98c3179153,Trustflash Cracker,💯❤️,5,0,2023-09-22 05:01:00,Thank you very much for your 5-star review!!! 🙏,2023-10-28 12:26:00,Unknown,en,us,1,2023
